CMDLINE /home/fcelaya/tfg-ade/venv/bin/python3 SPX_MLE_v7.py
MEM 237.750000 1707938593.8712
MEM 237.750000 1707938593.9722
MEM 237.750000 1707938594.0766
MEM 237.750000 1707938594.1800
MEM 237.750000 1707938594.2862
MEM 237.750000 1707938594.3872
MEM 237.996094 1707938594.4886
MEM 237.996094 1707938594.5897
MEM 237.996094 1707938594.6905
MEM 237.996094 1707938594.8008
MEM 237.996094 1707938594.9062
MEM 237.996094 1707938595.0121
MEM 237.996094 1707938595.1129
MEM 237.996094 1707938595.2139
MEM 237.996094 1707938595.3148
MEM 237.996094 1707938595.4169
MEM 237.996094 1707938595.5180
MEM 237.996094 1707938595.6190
MEM 237.996094 1707938595.7246
MEM 237.996094 1707938595.8313
MEM 237.996094 1707938595.9425
MEM 237.996094 1707938596.0483
MEM 237.996094 1707938596.1520
MEM 237.996094 1707938596.2545
MEM 237.996094 1707938596.3562
MEM 237.996094 1707938596.4573
MEM 237.996094 1707938596.5653
MEM 237.996094 1707938596.6753
MEM 237.996094 1707938596.7764
MEM 237.996094 1707938596.8775
MEM 237.996094 1707938596.9805
MEM 237.996094 1707938597.0817
MEM 237.996094 1707938597.1828
MEM 238.742188 1707938597.2838
MEM 239.000000 1707938597.3850
MEM 239.000000 1707938597.4859
MEM 239.000000 1707938597.5869
MEM 239.000000 1707938597.6879
MEM 239.000000 1707938597.8007
MEM 239.000000 1707938597.9015
MEM 239.000000 1707938598.0024
MEM 239.000000 1707938598.1068
MEM 239.000000 1707938598.2076
MEM 239.000000 1707938598.3169
MEM 239.000000 1707938598.4201
MEM 239.000000 1707938598.5213
MEM 239.000000 1707938598.6223
MEM 239.000000 1707938598.7244
MEM 239.000000 1707938598.8264
MEM 239.000000 1707938598.9273
MEM 239.000000 1707938599.0284
MEM 239.000000 1707938599.1300
MEM 239.000000 1707938599.2346
MEM 239.000000 1707938599.3357
MEM 239.000000 1707938599.4389
MEM 239.000000 1707938599.5421
MEM 239.000000 1707938599.6446
MEM 239.000000 1707938599.7458
MEM 239.000000 1707938599.8466
MEM 239.000000 1707938599.9492
MEM 239.000000 1707938600.0500
MEM 239.000000 1707938600.1612
MEM 239.000000 1707938600.2620
MEM 239.000000 1707938600.3631
MEM 239.000000 1707938600.4641
MEM 239.000000 1707938600.5649
MEM 239.000000 1707938600.6661
MEM 239.000000 1707938600.7671
MEM 239.000000 1707938600.8678
MEM 239.000000 1707938600.9687
MEM 239.000000 1707938601.0698
MEM 239.000000 1707938601.1713
MEM 239.000000 1707938601.2736
MEM 239.000000 1707938601.3836
MEM 239.000000 1707938601.4846
MEM 239.000000 1707938601.5857
MEM 239.000000 1707938601.6976
MEM 239.000000 1707938601.7984
MEM 239.000000 1707938601.9024
MEM 239.000000 1707938602.0197
MEM 239.000000 1707938602.1261
MEM 239.000000 1707938602.2270
MEM 239.000000 1707938602.3304
MEM 239.000000 1707938602.4415
MEM 239.000000 1707938602.5422
MEM 239.000000 1707938602.6431
MEM 239.000000 1707938602.7451
MEM 239.000000 1707938602.8539
MEM 239.000000 1707938602.9547
MEM 239.000000 1707938603.0555
MEM 239.000000 1707938603.1564
MEM 239.000000 1707938603.2573
MEM 239.000000 1707938603.3766
MEM 239.000000 1707938603.4776
MEM 239.000000 1707938603.5813
MEM 239.000000 1707938603.6830
MEM 239.000000 1707938603.7839
MEM 239.000000 1707938603.8847
MEM 239.000000 1707938603.9856
MEM 239.000000 1707938604.0865
MEM 239.000000 1707938604.1881
MEM 239.000000 1707938604.2891
MEM 239.000000 1707938604.3900
MEM 239.000000 1707938604.4908
MEM 239.000000 1707938604.5925
MEM 239.000000 1707938604.6934
MEM 239.000000 1707938604.7943
MEM 239.000000 1707938604.8954
MEM 239.000000 1707938604.9965
MEM 239.000000 1707938605.1034
MEM 239.000000 1707938605.2043
MEM 239.000000 1707938605.3052
MEM 239.000000 1707938605.4061
MEM 239.000000 1707938605.5100
MEM 239.000000 1707938605.6178
MEM 239.000000 1707938605.7186
MEM 239.000000 1707938605.8194
MEM 239.000000 1707938605.9206
MEM 239.000000 1707938606.0215
MEM 239.000000 1707938606.1230
MEM 239.000000 1707938606.2242
MEM 239.000000 1707938606.3352
MEM 239.000000 1707938606.4528
MEM 239.000000 1707938606.5540
MEM 239.000000 1707938606.6614
MEM 239.000000 1707938606.7689
MEM 239.000000 1707938606.8696
MEM 239.000000 1707938606.9808
MEM 239.000000 1707938607.0825
MEM 239.000000 1707938607.1835
MEM 239.000000 1707938607.2864
MEM 239.000000 1707938607.3873
MEM 239.000000 1707938607.4884
MEM 239.000000 1707938607.5897
MEM 239.000000 1707938607.6997
MEM 239.000000 1707938607.8006
MEM 239.000000 1707938607.9164
MEM 239.000000 1707938608.0172
MEM 239.000000 1707938608.1185
MEM 239.000000 1707938608.2196
MEM 239.000000 1707938608.3204
MEM 239.000000 1707938608.4221
MEM 239.000000 1707938608.5232
MEM 239.000000 1707938608.6239
MEM 239.000000 1707938608.7247
MEM 239.000000 1707938608.8258
MEM 239.000000 1707938608.9266
MEM 239.000000 1707938609.0328
MEM 239.000000 1707938609.1340
MEM 239.000000 1707938609.2350
MEM 239.000000 1707938609.3362
MEM 239.000000 1707938609.4371
MEM 239.000000 1707938609.5383
MEM 239.000000 1707938609.6396
MEM 239.000000 1707938609.7406
MEM 239.000000 1707938609.8439
MEM 239.000000 1707938609.9520
MEM 239.000000 1707938610.0530
MEM 239.000000 1707938610.1570
MEM 239.000000 1707938610.2578
MEM 239.000000 1707938610.3587
MEM 239.000000 1707938610.4649
MEM 239.000000 1707938610.5756
MEM 239.000000 1707938610.6851
MEM 239.000000 1707938610.7859
MEM 239.000000 1707938610.9048
MEM 239.000000 1707938611.0058
MEM 239.000000 1707938611.1068
MEM 239.000000 1707938611.2178
MEM 239.000000 1707938611.3188
MEM 239.000000 1707938611.4200
MEM 239.000000 1707938611.5387
MEM 239.000000 1707938611.6395
MEM 239.000000 1707938611.7437
MEM 239.000000 1707938611.8448
MEM 239.000000 1707938611.9556
MEM 239.000000 1707938612.0568
MEM 239.000000 1707938612.1579
MEM 239.000000 1707938612.2689
MEM 239.000000 1707938612.3816
MEM 239.000000 1707938612.4850
MEM 239.000000 1707938612.5860
MEM 239.000000 1707938612.7039
MEM 239.000000 1707938612.8050
MEM 239.000000 1707938612.9165
MEM 239.000000 1707938613.0184
MEM 239.000000 1707938613.1195
MEM 239.000000 1707938613.2206
MEM 239.000000 1707938613.3217
MEM 239.000000 1707938613.4266
MEM 239.000000 1707938613.5317
MEM 239.000000 1707938613.6325
MEM 239.000000 1707938613.7384
MEM 239.000000 1707938613.8394
MEM 239.000000 1707938613.9412
MEM 239.000000 1707938614.0423
MEM 239.000000 1707938614.1500
MEM 239.000000 1707938614.2538
MEM 239.000000 1707938614.3548
MEM 239.000000 1707938614.4558
MEM 239.000000 1707938614.5568
MEM 239.000000 1707938614.6580
MEM 239.000000 1707938614.7590
MEM 239.000000 1707938614.8598
MEM 239.000000 1707938614.9706
MEM 239.000000 1707938615.0715
MEM 239.000000 1707938615.1723
MEM 239.000000 1707938615.2772
MEM 239.000000 1707938615.3785
MEM 239.000000 1707938615.4794
MEM 239.000000 1707938615.5804
MEM 239.000000 1707938615.6814
MEM 239.000000 1707938615.7825
MEM 239.000000 1707938615.8834
MEM 239.000000 1707938615.9842
MEM 239.000000 1707938616.0852
MEM 239.000000 1707938616.1862
MEM 239.000000 1707938616.2890
MEM 239.000000 1707938616.3900
MEM 239.000000 1707938616.4910
MEM 239.000000 1707938616.5918
MEM 239.000000 1707938616.6933
MEM 239.000000 1707938616.7941
MEM 239.000000 1707938616.9067
MEM 239.000000 1707938617.0081
MEM 239.000000 1707938617.1090
MEM 239.000000 1707938617.2101
MEM 239.000000 1707938617.3111
MEM 239.000000 1707938617.4119
MEM 239.000000 1707938617.5131
MEM 239.000000 1707938617.6141
MEM 239.000000 1707938617.7244
MEM 239.000000 1707938617.8274
MEM 239.000000 1707938617.9285
MEM 239.000000 1707938618.0309
MEM 239.000000 1707938618.1317
MEM 239.000000 1707938618.2425
MEM 239.000000 1707938618.3435
MEM 239.000000 1707938618.4447
MEM 239.000000 1707938618.5469
MEM 239.000000 1707938618.6493
MEM 239.000000 1707938618.7582
MEM 239.000000 1707938618.8630
MEM 239.000000 1707938618.9639
MEM 239.000000 1707938619.0647
MEM 239.000000 1707938619.1766
MEM 239.000000 1707938619.2778
MEM 239.000000 1707938619.3786
MEM 239.000000 1707938619.4794
MEM 239.000000 1707938619.5802
MEM 239.000000 1707938619.6811
MEM 239.000000 1707938619.7819
MEM 239.000000 1707938619.8853
MEM 239.000000 1707938619.9862
MEM 239.000000 1707938620.0947
MEM 239.000000 1707938620.1966
MEM 239.000000 1707938620.2974
MEM 239.000000 1707938620.3985
MEM 239.000000 1707938620.4996
MEM 239.000000 1707938620.6076
MEM 239.000000 1707938620.7088
MEM 239.000000 1707938620.8103
MEM 239.000000 1707938620.9145
MEM 239.000000 1707938621.0154
MEM 239.000000 1707938621.1162
MEM 239.000000 1707938621.2172
MEM 239.000000 1707938621.3295
MEM 239.000000 1707938621.4317
MEM 239.000000 1707938621.5326
MEM 239.000000 1707938621.6334
MEM 239.000000 1707938621.7341
MEM 239.000000 1707938621.8351
MEM 239.000000 1707938621.9410
MEM 239.000000 1707938622.0450
MEM 239.000000 1707938622.1459
MEM 239.000000 1707938622.2471
MEM 239.000000 1707938622.3627
MEM 239.000000 1707938622.4637
MEM 239.000000 1707938622.5647
MEM 239.000000 1707938622.6656
MEM 239.000000 1707938622.7825
MEM 239.000000 1707938622.8838
MEM 239.000000 1707938622.9847
MEM 239.000000 1707938623.0903
MEM 239.171875 1707938623.1911
MEM 239.171875 1707938623.2934
MEM 239.171875 1707938623.3945
MEM 239.171875 1707938623.4988
MEM 239.171875 1707938623.6021
MEM 239.171875 1707938623.7029
MEM 239.171875 1707938623.8094
MEM 239.171875 1707938623.9104
MEM 239.171875 1707938624.0120
MEM 239.171875 1707938624.1130
MEM 239.171875 1707938624.2156
MEM 239.171875 1707938624.3188
MEM 239.171875 1707938624.4279
MEM 239.171875 1707938624.5315
MEM 239.171875 1707938624.6323
MEM 239.171875 1707938624.7350
MEM 239.171875 1707938624.8362
MEM 239.171875 1707938624.9378
MEM 239.171875 1707938625.0460
MEM 239.171875 1707938625.1476
MEM 223.234375 1707938625.2486
MEM 223.234375 1707938625.3497
MEM 223.234375 1707938625.4506
MEM 223.234375 1707938625.5520
MEM 223.234375 1707938625.6540
MEM 223.234375 1707938625.7551
MEM 223.234375 1707938625.8561
MEM 223.234375 1707938625.9574
MEM 223.234375 1707938626.0622
MEM 223.234375 1707938626.1632
MEM 223.234375 1707938626.2644
MEM 223.234375 1707938626.3699
MEM 223.234375 1707938626.4707
MEM 223.234375 1707938626.5717
MEM 223.234375 1707938626.6731
MEM 223.234375 1707938626.7832
MEM 223.234375 1707938626.9056
MEM 223.234375 1707938627.0065
MEM 223.234375 1707938627.1074
MEM 223.234375 1707938627.2235
MEM 223.234375 1707938627.3246
MEM 223.234375 1707938627.4257
MEM 223.234375 1707938627.5266
MEM 223.234375 1707938627.6331
MEM 223.234375 1707938627.7342
MEM 223.234375 1707938627.8350
MEM 223.234375 1707938627.9383
MEM 223.234375 1707938628.0396
MEM 223.234375 1707938628.1408
MEM 223.234375 1707938628.2432
MEM 223.234375 1707938628.3443
MEM 223.234375 1707938628.4453
MEM 223.234375 1707938628.5462
MEM 223.234375 1707938628.6472
MEM 223.234375 1707938628.8211
MEM 223.234375 1707938628.9250
MEM 223.234375 1707938629.0259
MEM 223.234375 1707938629.1378
MEM 223.234375 1707938629.2388
MEM 223.234375 1707938629.3398
MEM 223.234375 1707938629.4406
MEM 223.234375 1707938629.5416
MEM 223.234375 1707938629.6425
MEM 223.234375 1707938629.7744
MEM 223.355469 1707938629.8754
MEM 223.355469 1707938629.9763
MEM 223.355469 1707938630.0773
MEM 223.355469 1707938630.1783
MEM 223.355469 1707938630.2792
MEM 223.355469 1707938630.3802
MEM 223.539062 1707938630.4813
MEM 223.539062 1707938630.5885
MEM 223.539062 1707938630.6964
MEM 223.539062 1707938630.7976
MEM 223.539062 1707938630.9016
MEM 223.539062 1707938631.0036
MEM 223.539062 1707938631.1160
MEM 223.539062 1707938631.2169
MEM 223.539062 1707938631.3181
MEM 223.539062 1707938631.4190
MEM 223.539062 1707938631.5201
MEM 223.539062 1707938631.6211
MEM 223.539062 1707938631.7220
MEM 223.687500 1707938631.8229
MEM 223.808594 1707938631.9241
MEM 215.917969 1707938632.0251
MEM 215.917969 1707938632.1263
MEM 215.906250 1707938632.2274
MEM 215.906250 1707938632.3285
MEM 215.906250 1707938632.4295
MEM 215.968750 1707938632.5303
MEM 215.968750 1707938632.6312
MEM 212.742188 1707938632.7321
MEM 0.000000 1707938632.8331
